product_id,name,category,unit_price,created_at
1,Secured multi-tasking leverage,grocery,60.11,2026-05-26 10:31:36.593743
2,Versatile solution-oriented access,grocery,141.14,2026-08-30 12:52:29.645239
3,Monitored local encoding,home,74.07,2021-08-26 23:50:46.814893
4,Seamless regional encryption,electronics,339.97,2026-02-20 09:37:12.582407
5,Synergized fresh-thinking implementation,toys,48.03,2026-06-13 06:08:17.786204
6,Customizable human-resource extranet,books,20.73,2026-03-16 03:00:04.630912
7,Horizontal 4thgeneration model,electronics,113.23,2024-01-26 17:39:50.872376
8,Multi-layered multimedia website,toys,303.0,2025-09-02 11:39:59.166326
9,Pre-emptive 6thgeneration frame,toys,103.42,2023-11-22 09:14:14.375593
10,Ergonomic fresh-thinking migration,grocery,352.16,2026-02-07 12:11:29.214142
11,Cross-platform composite throughput,books,114.12,2021-06-20 19:51:55.021656
12,Adaptive responsive architecture,toys,142.7,2024-01-22 01:01:05.885428
13,Self-enabling zero-defect data-warehouse,sports,8.22,2022-03-14 06:30:58.888935
14,Optimized bi-directional database,sports,84.03,2025-11-30 08:41:58.642519
15,Total user-facing time-frame,books,173.42,2024-01-21 14:02:02.727689
16,Compatible value-added software,home,111.58,2023-06-22 21:52:57.427658
17,Persevering transitional groupware,sports,171.61,2021-11-15 23:13:35.282122
18,Compatible actuating conglomeration,electronics,193.06,2021-03-20 14:18:24.827808
19,Realigned asynchronous orchestration,apparel,424.51,2025-07-06 14:50:57.054838
20,Fundamental incremental info-mediaries,toys,135.94,2025-09-01 11:16:57.657641
21,Open-architected intermediate functionalities,electronics,366.22,2023-07-25 20:55:08.783687
22,Synergistic bottom-line monitoring,toys,66.79,2021-02-05 00:58:40.115847
23,Up-sized regional architecture,books,44.01,2021-01-13 05:41:57.806052
24,Reduced 6thgeneration standardization,apparel,415.56,2025-04-18 06:13:34.587402
25,Multi-channeled motivating benchmark,toys,443.3,2025-10-26 17:14:56.193961
