order_item_id,order_id,product_id,quantity,unit_price
1,1,159,2,463.25
2,1,61,2,488.22
3,1,46,4,17.27
4,1,189,3,392.28
5,2,41,1,194.36
6,2,10,4,115.1
7,2,118,3,156.07
8,3,7,2,202.24
9,3,72,1,483.61
10,4,103,3,469.92
11,4,30,3,93.39
12,4,68,1,58.66
13,4,112,3,365.63
14,4,81,4,305.07
15,5,148,2,131.09
16,5,182,4,5.84
17,5,138,2,185.29
18,5,18,3,313.46
19,6,130,3,335.11
20,6,84,4,350.12
21,6,142,2,99.96
22,7,158,3,206.01
23,7,1,3,147.02
24,8,168,3,235.17
25,8,114,2,258.03
26,8,189,2,331.13
27,8,73,3,51.23
28,8,193,2,338.03
29,9,7,1,126.2
30,9,122,1,230.43
31,10,184,4,249.72
32,10,63,2,329.75
33,11,57,2,403.03
34,11,179,4,29.86
35,11,64,1,230.95
36,11,119,3,475.27
37,12,185,4,416.13
38,12,141,4,449.12
39,12,191,4,227.78
40,12,193,2,420.73
41,12,71,4,315.24
42,13,183,3,121.07
43,14,21,2,79.66
44,14,99,2,354.68
45,14,17,4,206.76
46,14,139,4,210.81
47,14,53,4,197.79
48,15,196,4,241.1
49,16,193,4,427.46
50,16,108,2,246.67
51,16,70,4,245.39
52,17,186,2,421.05
53,17,33,1,453.93
54,17,152,1,46.55
55,17,110,2,434.09
56,18,98,3,109.77
57,18,84,3,381.81
58,18,98,3,377.24
59,19,21,4,14.59
60,19,139,1,499.95
61,19,90,2,326.82
62,20,64,2,420.42
63,21,33,4,336.38
64,21,145,2,235.19
65,22,156,1,390.01
66,22,42,3,58.51
67,23,174,4,201.34
68,23,184,2,42.62
69,23,177,2,55.44
70,23,198,3,425.9
71,23,154,1,399.13
72,24,137,4,332.45
73,24,18,3,11.26
74,24,108,4,57.24
75,25,182,2,220.57
76,25,188,3,309.88
77,25,138,4,235.11
78,25,188,3,164.54
79,26,116,2,376.49
80,26,146,4,171.52
81,26,127,3,95.01
82,27,88,3,440.76
83,27,180,3,280.12
84,27,133,2,47.38
85,28,143,2,346.85
86,28,166,4,226.85
87,28,5,1,150.65
88,28,104,2,156.57
89,29,142,3,215.62
90,29,191,3,179.15
91,29,117,3,156.78
92,29,60,1,362.04
93,30,196,2,99.81
94,30,190,4,141.87
95,30,151,3,490.35
96,30,50,3,117.6
97,30,46,3,12.0
98,31,12,1,278.91
99,31,179,2,320.75
100,31,193,4,55.78
101,32,121,4,223.03
102,32,48,1,129.98
103,32,123,1,411.95
104,33,148,1,80.1
105,34,22,2,63.63
106,34,196,4,305.13
107,34,159,2,388.97
108,35,77,4,156.16
109,35,159,1,306.77
110,35,190,1,474.06
111,35,54,2,136.0
112,36,45,1,82.48
113,36,105,4,346.24
114,37,60,3,354.94
115,38,176,2,462.34
116,39,109,1,274.56
117,39,166,2,454.66
118,40,16,2,397.35
119,41,113,1,237.01
120,41,78,4,471.62
121,41,129,4,221.69
122,42,189,3,303.84
123,42,7,1,118.32
124,42,173,1,499.79
125,42,173,3,290.24
126,43,133,4,458.46
127,43,47,4,319.22
128,43,126,1,237.66
129,43,105,3,163.92
130,44,106,4,147.67
131,44,103,1,230.14
132,44,81,3,165.02
133,45,1,4,209.56
134,45,49,3,313.2
135,45,128,4,381.2
136,45,53,3,276.86
137,45,74,4,441.02
138,46,162,2,356.34
139,47,142,4,51.14
140,48,31,2,251.7
141,48,184,3,256.89
142,48,70,4,418.19
143,48,121,2,231.11
144,49,154,2,432.69
145,49,71,4,173.24
146,50,1,3,364.4
147,50,151,4,433.3
148,50,115,4,175.84
149,51,117,3,435.45
150,51,179,2,288.04
151,51,60,4,26.61
152,51,191,4,354.09
153,52,170,2,250.19
154,52,10,2,253.63
155,52,152,3,435.5
156,52,113,1,265.35
157,53,105,2,42.04
158,53,68,3,313.51
159,54,173,4,477.3
160,54,161,4,436.83
161,54,10,1,121.21
162,55,192,1,219.82
163,55,26,1,224.62
164,56,12,3,399.09
165,57,111,2,125.88
166,57,106,2,89.14
167,57,21,4,311.76
168,58,37,2,233.27
169,58,66,4,131.39
170,58,3,4,451.1
171,58,174,2,41.56
172,58,89,3,321.27
173,59,78,2,499.69
174,59,124,1,122.42
175,59,147,3,289.53
176,59,180,3,15.86
177,60,3,1,455.76
178,60,191,4,417.26
179,60,74,2,305.5
180,61,159,3,340.49
181,61,185,2,315.98
182,62,113,1,291.89
183,62,188,2,49.62
184,62,76,3,375.0
185,63,139,3,267.77
186,63,70,2,132.2
187,64,192,3,403.1
188,64,120,1,74.67
189,64,58,4,483.8
190,65,24,4,11.89
191,65,138,1,230.12
192,65,173,3,294.36
193,66,173,2,238.38
194,67,157,2,325.59
195,67,163,4,455.15
196,67,78,4,62.75
197,68,127,1,53.11
198,68,138,2,197.38
199,68,95,4,295.73
200,69,168,1,417.68
201,69,158,4,469.83
202,69,72,1,346.69
203,69,56,4,225.12
204,70,176,3,274.51
205,71,102,3,98.96
206,72,170,2,322.64
207,73,86,2,494.47
208,74,18,2,295.26
209,74,60,3,388.31
210,75,71,2,493.83
211,76,29,1,70.24
212,76,92,2,296.48
213,77,14,2,372.15
214,77,135,1,374.1
215,77,122,4,390.12
216,78,116,2,472.98
217,79,118,1,35.11
218,79,123,4,216.01
219,79,28,4,357.64
220,80,83,2,37.51
221,81,141,3,193.55
222,81,153,3,229.59
223,81,155,4,54.09
224,81,180,1,427.13
225,81,167,2,217.88
226,82,87,4,202.37
227,82,187,1,159.71
228,82,81,3,190.28
229,82,40,4,38.23
230,83,111,1,373.57
231,84,16,3,336.66
232,84,106,3,437.44
233,84,193,4,434.71
234,84,185,1,484.36
235,84,154,3,179.06
236,85,40,4,116.0
237,85,28,3,423.46
238,86,147,2,404.57
239,86,144,1,306.45
240,86,169,3,19.33
241,87,90,1,94.8
242,87,37,4,39.44
243,87,190,1,50.42
244,88,108,4,173.74
245,88,95,3,362.19
246,88,199,1,442.25
247,88,40,2,378.45
248,89,114,4,245.4
249,89,114,4,140.22
250,89,194,1,175.86
251,90,125,3,27.48
252,90,102,1,8.81
253,90,78,2,384.84
254,90,196,3,148.28
255,90,31,1,251.21
256,91,98,2,252.63
257,91,172,3,40.68
258,92,5,4,460.98
259,92,81,4,288.83
260,92,182,4,148.31
261,92,104,1,483.27
262,93,177,3,48.62
263,93,28,2,220.66
264,93,103,1,200.9
265,93,80,3,114.68
266,94,131,1,267.65
267,95,187,2,121.95
268,95,38,3,102.65
269,95,155,2,381.31
270,96,198,4,234.66
271,96,145,4,342.16
272,97,83,3,79.72
273,97,18,4,223.89
274,97,78,3,297.75
275,97,91,1,158.65
276,97,116,1,33.16
277,98,166,1,309.43
278,99,149,1,227.62
279,99,147,2,164.16
280,99,122,2,479.07
281,99,116,1,406.43
282,100,130,2,24.38
283,101,135,2,185.13
284,101,73,4,207.34
285,101,87,1,395.67
286,101,166,3,37.63
287,102,73,3,363.25
288,102,169,2,170.01
289,102,150,2,458.79
290,102,80,4,68.83
291,103,144,4,323.53
292,103,85,2,336.71
293,103,190,1,324.78
294,104,5,3,157.89
295,104,55,3,474.1
296,104,125,2,117.14
297,105,76,1,256.31
298,106,170,3,438.81
299,107,97,2,85.31
