order_id,customer_id,order_date,status,total_amount
1,400,2026-07-09,returned,3148.86
2,211,2026-03-12,shipped,1122.97
3,408,2025-05-10,shipped,888.09
4,143,2026-06-01,delivered,4065.76
5,262,2024-07-20,placed,1596.5
6,340,2025-04-02,placed,2605.73
7,341,2024-06-28,cancelled,1059.09
8,221,2026-05-04,returned,2713.58
9,116,2023-04-17,shipped,356.63
10,454,2024-04-06,returned,1658.38
11,3,2024-02-26,placed,2582.26
12,457,2025-05-27,cancelled,6474.54
13,141,2025-08-12,cancelled,363.21
14,172,2025-03-24,delivered,3330.12
15,395,2024-06-15,returned,964.4
16,483,2026-04-08,delivered,3184.74
17,200,2025-11-15,delivered,2210.76
18,94,2026-06-15,placed,2606.46
19,426,2025-10-02,cancelled,1211.95
20,400,2024-12-01,placed,840.84
21,319,2024-08-28,shipped,1815.9
22,132,2023-08-13,delivered,565.54
23,14,2026-02-22,delivered,2678.31
24,290,2023-06-18,placed,1592.54
25,492,2023-11-12,delivered,2804.84
26,126,2023-12-05,placed,1724.09
27,109,2025-09-26,delivered,2257.4
28,369,2025-10-04,cancelled,2064.89
29,298,2023-10-11,delivered,2016.69
30,162,2024-06-17,placed,2626.95
31,274,2023-05-09,shipped,1143.53
32,7,2026-06-13,returned,1434.05
33,206,2024-09-27,cancelled,80.1
34,416,2023-03-14,returned,2125.72
35,195,2025-11-02,cancelled,1677.47
36,42,2024-12-05,shipped,1467.44
37,241,2026-08-31,delivered,1064.82
38,360,2023-05-20,cancelled,924.68
39,404,2025-04-10,returned,1183.88
40,424,2023-04-24,shipped,794.7
41,305,2026-06-06,returned,3010.25
42,307,2024-06-07,placed,2400.35
43,391,2023-11-05,shipped,3840.14
44,54,2025-09-18,shipped,1315.88
45,497,2024-08-18,cancelled,5897.3
46,249,2023-06-19,placed,712.68
47,160,2024-12-08,returned,204.56
48,431,2023-08-18,placed,3409.05
49,75,2023-02-17,cancelled,1558.34
50,404,2024-04-24,returned,3529.76
51,283,2026-05-15,returned,3405.23
52,416,2026-03-07,cancelled,2579.49
53,234,2024-09-19,placed,1024.61
54,204,2026-03-16,placed,3777.73
55,351,2026-06-10,delivered,444.44
56,356,2025-01-07,delivered,1197.27
57,151,2023-07-01,delivered,1677.08
58,124,2026-06-28,cancelled,3843.43
59,218,2024-12-25,delivered,2037.97
60,425,2025-03-05,cancelled,2735.8
61,181,2024-09-05,shipped,1653.43
62,463,2025-10-03,placed,1516.13
63,90,2026-03-25,shipped,1067.71
64,423,2024-08-07,cancelled,3219.17
65,412,2025-05-09,returned,1160.76
66,422,2024-12-18,delivered,476.76
67,318,2026-05-06,returned,2722.78
68,24,2024-10-09,placed,1630.79
69,373,2023-11-02,shipped,3544.17
70,121,2023-05-01,delivered,823.53
71,331,2024-02-18,delivered,296.88
72,63,2024-07-08,cancelled,645.28
73,306,2023-07-29,placed,988.94
74,403,2023-01-15,returned,1755.45
75,404,2024-12-04,returned,987.66
76,277,2025-10-16,delivered,663.2
77,9,2023-07-03,shipped,2678.88
78,263,2024-01-21,returned,945.96
79,23,2024-12-20,returned,2329.71
80,228,2025-07-13,placed,75.02
81,141,2024-10-23,returned,2348.67
82,455,2025-10-12,shipped,1692.95
83,426,2024-02-07,placed,373.57
84,191,2025-10-26,shipped,5082.68
85,296,2025-12-08,returned,1734.38
86,189,2025-03-13,placed,1173.58
87,140,2025-12-06,delivered,302.98
88,272,2025-01-06,shipped,2980.68
89,26,2023-09-11,placed,1718.34
90,57,2026-03-31,delivered,1556.98
91,221,2024-08-10,shipped,627.3
92,442,2023-12-02,placed,4075.75
93,88,2025-08-18,returned,1132.12
94,399,2025-05-18,shipped,267.65
95,100,2026-01-18,delivered,1314.47
96,336,2023-10-24,placed,2307.28
97,452,2023-04-17,returned,2219.78
98,426,2025-04-20,delivered,309.43
99,260,2024-11-25,cancelled,1920.51
100,429,2025-12-11,delivered,48.76
101,363,2025-04-04,cancelled,1708.18
102,49,2025-07-21,returned,2622.67
103,363,2024-01-01,placed,2292.32
104,217,2025-05-21,returned,2130.25
105,71,2024-12-15,shipped,256.31
106,277,2023-12-28,returned,1316.43
107,317,2023-09-10,shipped,3738.11
108,402,2023-04-03,cancelled,690.54
109,485,2023-07-03,returned,5728.75
110,284,2023-05-29,placed,2683.44
111,203,2024-09-03,returned,3217.25
112,71,2024-08-31,placed,2131.34
113,428,2025-07-30,shipped,1436.1
114,295,2024-10-23,shipped,598.04
115,96,2024-03-06,placed,2295.3
116,376,2023-07-24,placed,4304.85
117,104,2026-07-27,placed,3379.54
118,279,2023-01-30,cancelled,926.67
119,189,2026-07-30,cancelled,5204.44
120,373,2024-01-15,cancelled,550.02
121,165,2023-06-18,placed,470.16
122,309,2024-08-12,cancelled,1644.13
123,223,2023-01-12,delivered,739.36
124,411,2023-05-02,shipped,88.92
125,35,2023-01-20,shipped,3256.49
126,40,2023-10-19,returned,991.77
127,59,2024-07-18,placed,2994.63
128,361,2025-11-22,cancelled,1176.98
129,437,2024-10-31,placed,4557.81
130,365,2024-05-14,shipped,558.14
131,294,2025-07-25,delivered,3485.0
132,38,2023-02-12,shipped,1203.43
133,67,2023-04-18,cancelled,2694.28
134,283,2025-10-05,delivered,1523.32
135,298,2023-07-16,shipped,1679.64
136,15,2023-12-25,placed,981.93
137,393,2024-06-11,returned,2333.51
138,38,2024-12-31,placed,1894.7
139,161,2023-09-02,delivered,1063.42
140,127,2026-04-18,shipped,1418.91
141,443,2023-12-03,returned,4864.81
142,255,2024-05-27,placed,1934.04
143,111,2023-01-17,returned,948.38
144,452,2026-08-02,delivered,1868.4
145,38,2025-08-18,cancelled,4214.49
146,24,2024-06-01,placed,1523.8
147,458,2026-08-03,returned,1152.99
148,260,2023-11-29,returned,3427.46
149,299,2026-08-29,cancelled,353.86
150,486,2023-09-25,placed,2028.32
151,211,2025-09-15,returned,3271.37
152,347,2023-05-07,delivered,3458.62
153,294,2025-06-14,returned,2811.29
154,110,2023-10-08,shipped,1539.11
155,395,2024-06-06,shipped,412.84
156,479,2026-07-15,cancelled,1982.14
157,90,2026-06-12,cancelled,2897.13
158,5,2023-08-02,delivered,3751.5
159,235,2025-09-05,delivered,1373.03
160,439,2025-09-27,cancelled,1035.1
161,121,2025-01-08,cancelled,1085.93
162,61,2023-06-14,cancelled,2979.3
163,114,2024-10-08,shipped,1092.94
164,282,2024-02-06,cancelled,1772.9
165,77,2024-04-29,shipped,2071.44
166,233,2023-03-12,shipped,3974.31
167,33,2025-06-15,returned,82.84
168,210,2026-08-01,shipped,2503.28
169,465,2023-11-14,cancelled,2653.94
170,388,2024-08-06,placed,1834.16
171,449,2023-01-21,placed,1237.56
172,480,2025-12-03,placed,1258.54
173,361,2025-02-24,placed,960.96
174,398,2024-06-15,placed,1235.28
175,396,2023-11-23,delivered,1405.26
176,141,2026-07-26,placed,3530.9
177,276,2025-02-19,cancelled,3119.64
178,288,2025-07-17,cancelled,2489.84
179,194,2025-07-14,returned,3331.39
180,387,2023-07-28,cancelled,1569.3
181,195,2025-11-01,cancelled,3604.18
182,114,2023-12-01,shipped,604.48
183,101,2024-11-02,delivered,901.44
184,421,2025-07-10,cancelled,1532.75
185,430,2024-03-30,placed,209.13
186,432,2026-07-27,shipped,19.06
187,259,2025-10-17,cancelled,1607.13
188,370,2023-03-22,delivered,3803.38
189,137,2024-04-22,cancelled,928.8
190,125,2023-07-26,shipped,1494.24
191,29,2024-12-21,placed,2549.06
192,440,2023-05-25,placed,2701.25
193,301,2024-10-17,shipped,2994.35
194,353,2024-03-01,placed,3664.11
195,284,2025-01-20,cancelled,2864.53
196,325,2025-05-16,shipped,1452.1
197,286,2024-04-11,returned,2501.92
198,87,2026-04-13,cancelled,534.82
199,223,2025-09-12,delivered,4414.37
200,156,2023-01-29,placed,3086.5
201,91,2024-05-22,cancelled,2693.72
202,289,2025-08-31,shipped,2311.67
203,156,2023-12-03,shipped,2118.21
204,274,2023-02-23,returned,1001.36
205,331,2025-08-07,cancelled,977.1
206,201,2025-01-21,cancelled,2568.65
207,267,2024-12-30,cancelled,1279.37
208,59,2024-10-20,placed,1198.7
209,219,2025-01-31,cancelled,997.76
210,378,2024-12-31,returned,1003.6
211,386,2024-03-11,placed,3766.44
212,179,2024-09-21,delivered,2655.63
213,60,2026-03-12,shipped,1586.58
214,276,2025-03-15,shipped,3411.05
215,252,2026-03-02,cancelled,2073.24
216,396,2023-08-04,cancelled,2784.24
217,17,2024-12-14,cancelled,1733.78
218,313,2024-08-26,cancelled,1074.19
219,273,2026-01-06,delivered,3390.78
220,68,2024-12-28,shipped,2234.42
221,296,2024-09-02,delivered,3322.09
222,168,2025-11-08,returned,366.81
223,235,2024-11-11,delivered,451.32
224,220,2025-09-13,shipped,3186.14
225,321,2026-04-01,cancelled,446.88
226,1,2025-04-12,cancelled,1759.0
227,449,2024-05-04,delivered,386.82
228,191,2025-04-13,shipped,1093.08
229,387,2024-03-07,shipped,1368.6
230,176,2023-03-27,placed,1228.81
231,417,2026-07-23,shipped,1022.47
232,110,2026-01-05,shipped,3702.81
233,127,2023-09-13,delivered,1171.77
234,354,2025-07-07,placed,1927.38
235,124,2025-10-26,cancelled,2408.35
236,35,2023-07-27,placed,2268.78
237,206,2024-01-16,placed,1309.67
238,45,2024-07-04,cancelled,158.1
239,380,2024-03-08,shipped,704.48
240,84,2023-05-10,cancelled,1537.18
241,220,2025-06-04,delivered,2242.39
242,346,2023-02-28,placed,82.32
243,187,2026-06-14,cancelled,743.23
244,128,2023-08-29,cancelled,858.96
245,36,2023-02-12,cancelled,1389.03
246,156,2023-05-24,returned,1628.81
247,280,2023-09-15,shipped,1026.73
248,356,2023-02-12,placed,2296.01
249,493,2025-05-12,placed,1560.83
250,191,2024-06-06,cancelled,255.19
251,327,2024-10-20,cancelled,220.32
252,494,2025-04-18,shipped,1765.92
253,140,2025-03-04,shipped,782.14
254,300,2023-03-07,placed,714.12
255,184,2023-10-24,shipped,1981.36
256,439,2025-08-22,delivered,1308.93
257,134,2023-01-18,shipped,1120.8
258,282,2026-05-22,shipped,402.93
259,72,2025-05-31,placed,139.4
260,422,2026-06-01,cancelled,1212.52
261,228,2026-01-23,shipped,26.13
262,237,2024-09-21,placed,1725.28
263,350,2025-05-08,cancelled,1586.56
264,77,2024-04-30,placed,3526.62
265,411,2025-09-26,returned,727.32
266,401,2026-04-11,cancelled,1202.99
267,399,2026-01-09,delivered,1153.77
268,120,2025-12-03,shipped,273.86
269,418,2023-03-20,placed,966.7
270,163,2025-04-09,delivered,3783.8
271,11,2024-12-12,returned,2605.5
272,434,2025-09-13,returned,2735.64
273,500,2026-01-26,shipped,2240.58
274,374,2023-04-15,placed,1799.5
275,494,2023-10-18,placed,343.6
276,225,2024-11-29,cancelled,1986.76
277,246,2023-05-17,returned,210.78
278,134,2023-11-07,placed,889.06
279,83,2024-06-01,placed,3960.99
280,210,2023-09-17,returned,1612.26
281,14,2025-06-01,shipped,1623.55
282,204,2025-02-05,cancelled,1496.5
283,135,2026-06-27,shipped,2069.24
284,302,2025-01-20,shipped,3788.74
285,388,2025-01-20,cancelled,1024.95
286,350,2025-09-29,cancelled,2203.31
287,469,2025-10-26,placed,1113.08
288,439,2025-02-13,delivered,2064.84
289,445,2025-06-25,returned,982.87
290,312,2025-08-02,cancelled,1040.4
291,26,2024-07-27,cancelled,1089.94
292,117,2023-05-20,shipped,2747.91
293,109,2025-12-01,cancelled,1688.76
294,449,2025-01-09,shipped,230.94
295,471,2024-11-09,delivered,2516.04
296,64,2025-06-02,placed,2378.24
297,180,2024-12-18,delivered,231.75
298,293,2025-03-17,shipped,1717.2
299,443,2026-06-08,placed,2205.94
300,112,2026-04-27,cancelled,2484.29
301,56,2025-01-09,cancelled,966.27
302,442,2026-09-01,delivered,2523.26
303,349,2026-02-09,shipped,1995.0
304,133,2024-07-08,cancelled,3147.72
305,344,2025-05-01,delivered,2949.06
306,115,2026-01-15,delivered,2779.95
307,100,2024-03-10,returned,1069.08
308,212,2023-11-20,placed,652.84
309,442,2025-01-03,shipped,952.08
310,91,2024-05-19,delivered,561.6
311,390,2025-01-09,shipped,2145.06
312,487,2025-09-27,placed,468.2
313,197,2024-04-28,returned,3635.32
314,85,2024-08-31,cancelled,729.9
315,68,2026-07-14,shipped,131.94
316,365,2023-01-01,placed,2134.25
317,214,2023-02-16,cancelled,1904.71
318,139,2024-01-18,returned,3292.27
319,152,2023-01-22,shipped,1822.52
320,353,2023-07-01,cancelled,745.07
321,47,2026-04-11,returned,452.87
322,330,2023-01-09,shipped,4267.55
323,49,2026-08-16,placed,335.38
324,458,2023-10-16,cancelled,2596.11
325,357,2024-02-28,placed,2203.12
326,195,2025-11-02,delivered,1980.43
327,343,2026-06-21,delivered,2738.18
328,446,2026-01-10,shipped,654.84
329,170,2026-05-20,delivered,555.0
330,194,2024-11-18,cancelled,1093.76
331,256,2025-02-05,cancelled,2114.08
332,406,2025-02-07,returned,4834.29
333,187,2023-05-07,cancelled,12.18
334,182,2024-09-10,delivered,2445.06
335,401,2023-07-29,shipped,1823.05
336,490,2023-12-23,returned,1948.37
337,248,2026-04-10,returned,929.95
338,308,2023-12-02,returned,1817.3
339,69,2023-12-11,shipped,3582.59
340,472,2024-02-08,shipped,1919.85
341,299,2025-02-05,returned,1993.51
342,385,2025-02-03,shipped,732.93
343,232,2023-10-20,placed,4516.05
344,28,2023-04-14,placed,3578.08
345,494,2024-03-12,shipped,2138.19
346,220,2024-10-10,delivered,1518.91
347,294,2024-10-18,returned,2284.69
348,207,2026-04-23,placed,3110.98
349,422,2025-08-02,placed,676.83
350,464,2026-01-06,returned,3534.89
351,261,2023-05-09,cancelled,3414.34
352,108,2025-05-13,shipped,1947.35
353,38,2023-02-20,placed,909.95
354,231,2025-12-22,cancelled,1251.44
355,38,2024-05-27,delivered,2514.84
356,201,2025-11-14,returned,1873.81
